from,to,relationship,year
fb,sp,7,
fb,cu,7,
fb,vdfg,3,2021
fb,ecfr,3,2020
co,ecfr,3,2007
fb,tw,3,2020
fb,ebd,3,2020
fb,dfi,3,2017
fb,aaeu,2,2009
co,aaeu,2,2004
fb,dfag,2,2018
ft,cam,7,2002
ft,eku,7,2012
mt,eku,7,1995
ck,eku,7,2009
ft,kfw,3,2020
rss,kfw,3,2018
mt,kfw,3,2020
ft,aih,2,2017
bs,aih,2,2017
ft,euu,2,2009
fb,euu,2,2017
jb,euu,2,2017
ck,euu,2,2017
bs,euu,2,2017
mt,euu,2,2017
rss,zu,7,1989
rss,gvfd,3,
rss,alu,3,2017
tl,euu,2,2017
tl,dgf,3,2021
tl,gh,3,2018
tl,dkp,2,2017
bs,dig,3,2017
co,img,3,2021
co,sefep,3,2021
mt,sefep,3,2021
co,uw,7,
co,tdsp,3,2018
co,ati,3,2021
co,ths,3,2018
mt,ths,3,2018